NAME;CODE;IP1;IP2;IP3
TRG B.JELA?I?A-DUBROVNIK-0001;900010;-;-;-
ZG-TRG BANA JELA?I?A-ZAPAD;900020;10.199.0.177;10.199.0.178;10.199.0.179
ZG-TRŽNICA DOLAC;900030;10.199.0.185;10.199.0.186;10.199.0.187
ZG-FRANKOPANSKA;900050;10.199.0.193;10.199.0.194;10.199.0.195
ZG-VINOGRADSKA;900210;10.199.0.241;10.199.0.242;10.199.0.243
ZG-MASARYKOVA;900330;10.199.0.25;10.199.0.26;10.199.0.27
ZG-ROOSEVELTOV TRG;900340;10.191.1.161;10.191.1.162;10.191.1.163
ZG-MAŽURANI?EV TRG;900350;10.191.0.49;10.191.0.50;10.191.0.51
ZG-CRNATKOVA-SAVSKA;900360;10.199.1.41;10.199.1.42;10.199.1.43
ZG-BRITANSKI TRG;900370;10.199.1.49;10.199.1.50;10.199.1.51
ZG-KRŠNJAVOGA;900390;10.199.1.65;10.199.1.66;10.199.1.67
ZG-ILICA-REPUBLIKE AUSTRIJE;900410;10.191.1.193;10.191.1.194;10.191.1.195
ZG-REPUBLIKE AUSTRIJE;900420;10.191.1.209;10.191.1.210;10.191.1.211
ZG-BROZOVA;900460;10.199.1.89;10.199.1.90;10.199.1.91
ZG-SAVSKA-TRATINSKA;900470;10.199.1.97;10.199.1.98;10.199.1.99
ZG-AUTOB. KOLODVOR II;900510;10.191.42.129;10.191.42.130;10.191.42.131
ZG-AUTOB. KOLODVOR III;900520;10.199.1.113;10.199.1.114;10.199.1.115
ZG-LJUDEVITA POSAVSKOG;900530;10.191.1.241;10.191.1.242;10.191.1.243
ZG-TUŠKANOVA;900560;10.191.0.129;10.191.0.130;10.191.0.131
ZG-HEINZELOVA-RAKOV?EVA;900570;10.199.0.105;10.199.0.106;10.199.0.107
ZG-VRBANI?EVA;900580;10.191.0.97;10.191.0.98;10.191.0.99
ZG-KOSOROVA;900610;10.191.42.177;10.191.42.178;10.191.42.179
